date,Qualification,geography_name,geography_code,school_type_group,Institution,subject_area,Subject,Number at grade A*.,Number at grade A.,Number at grade B.,Number at grade C.,Number at grade D.,Number at grade E.,Number at grade U.,Exam entries,astar_a_grade_achieved,astar_b_grade_achieved,astar_c_grade_achieved,astar_d_grade_achieved,astar_e_grade_achieved,Percent achieving grade A*,perc_a_grade_achieved,perc_b_grade_achieved,perc_c_grade_achieved,perc_d_grade_achieved,perc_e_grade_achieved,Percent achieving grade A* - A,Percent achieving grade A* - B,Percent achieving grade A* - C,Percent achieving grade A* - D,Percent achieving grade A* - E
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Design and technology,D&T Textiles Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Modern languages,Spanish,0,1,1,0,2,0,0,4,1,2,2,4,4,0,25,25,0,50,0,25,50,50,100,100
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Modern languages - other,Russian,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Modern languages - other,Urdu,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,All subjects,Total subjects,0,65,38,31,39,47,24,249,65,103,134,173,220,0,26.10442,15.26104,12.4498,15.66265,18.8755,26.10442,41.36546,53.81526,69.47791,88.35341
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Art & Design,Total Art & Design,0,2,4,1,4,2,0,13,2,6,7,11,13,0,15.38462,30.76923,7.69231,30.76923,15.38462,15.38462,46.15385,53.84615,84.61538,100
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Modern languages - other,Arabic,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,ICT,Total ICT,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,History,Total History,0,2,0,0,3,0,0,5,2,2,2,5,5,0,40,0,0,60,0,40,40,40,100,100
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Modern languages - other,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Design and technology,D&T Food Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Science - other,Environmental Science,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Design and technology,Total D&T,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/21,AS level,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,All facilitating subjects,Total facilitating subjects,0,55,25,18,22,25,21,169,55,80,98,120,145,0,32.54438,14.7929,10.65089,13.01775,14.7929,32.54438,47.33728,57.98817,71.00592,85.79882
