date,geography_name,geography_code,school_type_group,Institution,characteristic_type,Characteristic,Students at end of 16-18 study,Number of level 3 students,Number of A level students,Number of academic students,Number of applied general students,Number of tech level students,APS per A level entry,Average A level result,APS per academic entry,Average academic result,APS per applied general entry,Average applied general result,APS per tech level entry,Average tech level result,% achieving ≥ 2 substantial level 3 results,% achieving ≥ 2 A levels,% achieving ≥ 2 academic results,Number of students entered for ≥ 1 A level or applied A level,APS per 'Best 3' entries,APS per 'Best 3' entries (grade),% achieving 3 A* to A,% achieving ≥ AAB,Number of students entered for ≥ 1 A level,% achieving ≥ AAB for a minimum of 2 facilitating A levels,Number of students entered for any level 3 vocational (excluding applied generals),% level 3 vocational students (excluding applied generals) who entered tech levels,Number of students entered for any level 3 vocational (excluding tech levels),% level 3 vocational students (excluding tech levels) who entered applied general,Number of students with level 2 as highest entry,% level 2 students entered for technical certificate,Number of technical certificate students,APS per entry technical certificate students,Average technical certificate result
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,FSM,Not eligible for FSM,5727,3650,3054,3096,1183,341,39.8915,B,39.8615,B,32.7991,Dist-,32.4058,Dist-,93.671,86.837,85.691,2169,41.1034,B,26.971,40.295,2169,26.787,1066,31.989,1851,64.344,425,9.176,39,5.9943,L2Merit
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,FSM,Not eligible for FSM,2521,1439,1223,1232,248,133,39.4017,B,39.4201,B,32.0107,Dist-,31.7886,Dist-,84.92,82.829,82.224,1073,33.5756,C+,13.979,23.206,1073,12.209,1069,12.442,1143,22.135,169,11.834,20,5.6506,L2Merit-
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,FSM,Not eligible for FSM,3993,2549,1706,1731,1392,343,36.7194,B-,36.6521,B-,32.9255,Dist-,27.6189,Merit+,95.488,78.898,77.759,967,38.435,B,19.442,31.127,967,22.234,580,59.138,1606,86.8,91,6.593,6,5.9643,L2Merit
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,FSM,Not eligible for FSM,1558,928,745,753,436,49,36.8441,B-,36.7535,B-,33.7882,Dist,36.3619,Dist,99.138,80.268,79.416,450,38.1704,B-,18.667,31.333,450,20.889,146,33.562,532,81.955,36,0,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,FSM,Not eligible for FSM,4118,2979,2353,2355,1090,118,38.6935,B,38.7625,B,33.7772,Dist,33.5487,Dist,97.18,88.355,88.28,1805,39.313,B,21.828,34.515,1805,24.765,307,38.436,1262,86.371,153,3.922,6,7,L2Dist
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,FSM,Not eligible for FSM,7112,4000,3143,3159,1425,537,36.2828,B-,36.319,B-,32.2186,Dist-,30.4428,Dist-,95.05,84.855,84.457,2146,37.1948,B-,16.962,27.446,2146,17.428,1224,43.873,2113,68.244,232,4.31,10,5.7727,L2Merit-
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,FSM,Not eligible for FSM,3118,1837,1365,1366,778,238,39.1328,B,39.1559,B,34.0903,Dist,32.9096,Dist-,94.665,81.319,81.259,924,37.3088,B-,16.234,27.814,924,15.043,587,40.545,1113,69.901,92,5.435,5,5.8333,L2Merit
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,10,9,6,6,5,0,31.9048,C+,32.0175,C+,32,Dist-,NA,NA,55.556,66.667,66.667,3,25.5556,C-,0,0,3,0,2,0,7,71.429,0,NA,0,NA,NA
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,8,7,7,7,0,0,23.8235,D+,23.9227,D+,NA,NA,NA,NA,57.143,57.143,57.143,6,22.2222,D+,0,0,6,0,2,0,2,0,0,NA,0,NA,NA
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,6,4,4,4,0,0,32.8571,C+,32.8571,C+,NA,NA,NA,NA,100,100,100,4,33.3333,C+,0,25,4,25,1,0,1,0,0,NA,0,NA,NA
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,56,23,22,23,1,0,30.7547,C,29.4595,C,31.6667,Dist-,NA,NA,65.217,63.636,65.217,16,26.6667,C-,0,18.75,16,12.5,3,0,4,25,0,NA,0,NA,NA
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,12,4,4,4,0,0,28.6364,C,28.6364,C,NA,NA,NA,NA,75,75,75,4,25,C-,0,0,4,0,5,0,5,0,4,25,1,8,L2Dist*
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,8,5,3,3,3,1,34.4444,C+,34.4444,C+,38.3333,Dist+,35,Dist,80,33.333,33.333,1,40,B,0,0,1,0,2,50,3,100,0,NA,0,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,5,3,3,3,1,0,37.7778,B-,37.7778,B-,25,Merit,NA,NA,100,100,100,2,40,B,50,50,2,50,0,NA,1,100,0,NA,0,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,8,6,5,5,1,0,27.3077,C-,27.3077,C-,25,Merit,NA,NA,50,60,60,3,28.8889,C,0,0,3,0,1,0,1,100,0,NA,0,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,32,15,13,14,3,2,30.5263,C,30.6081,C,28.3333,Merit+,41.6667,Dist+,73.333,61.538,57.143,9,24.4444,D+,0,0,9,0,5,40,6,50,0,NA,0,NA,NA
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,6,3,3,3,0,0,45,A-,45.2273,A-,NA,NA,NA,NA,100,100,100,3,40,B,33.333,66.667,3,66.667,4,0,4,0,2,0,0,NA,NA
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,3,2,1,2,0,0,42.5,B+,42.2222,B+,NA,NA,NA,NA,50,100,50,1,43.3333,B+,0,0,1,0,0,NA,0,NA,0,NA,0,NA,NA
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,8,5,5,5,1,0,47.3333,A-,47.3333,A-,42,Dist*-,NA,NA,100,100,100,4,48.3333,A-,50,75,4,75,0,NA,1,100,0,NA,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,29,12,12,12,2,1,43.0986,B+,43.2402,B+,37.5,Dist+,25,Merit,91.667,83.333,83.333,10,43.6667,B+,20,30,10,20,3,33.333,4,50,1,0,0,NA,NA
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,7,5,4,4,1,0,48.5714,A,48.5714,A,34,Dist,NA,NA,80,100,100,4,50,A,50,75,4,25,1,0,1,100,0,NA,0,NA,NA
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,8,3,2,2,1,0,20,D,20,D,42,Dist*-,NA,NA,66.667,100,100,2,20,D,0,0,2,0,0,NA,1,100,0,NA,0,NA,NA
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,6,5,5,5,0,0,46.4,A-,46.4,A-,NA,NA,NA,NA,80,80,80,4,47.5,A-,50,50,4,50,0,NA,0,NA,0,NA,0,NA,NA
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,4,3,2,2,1,0,31.6667,C,31.6667,C,40,Dist+,NA,NA,100,100,100,2,31.6667,C,0,0,2,0,0,NA,1,100,0,NA,0,NA,NA
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,4,3,3,3,0,0,47.5,A-,47.2289,A-,NA,NA,NA,NA,100,100,100,2,50,A,50,100,2,50,0,NA,0,NA,0,NA,0,NA,NA
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,22,7,6,6,4,1,25.4545,C-,25.4545,C-,32.7778,Dist-,35,Dist,71.429,66.667,66.667,2,23.3333,D+,0,0,2,0,1,100,4,100,0,NA,0,NA,NA
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,3,3,2,2,1,0,34,C+,34,C+,15,Pass,NA,NA,100,100,100,2,28.3333,C-,0,0,2,0,1,0,2,50,0,NA,0,NA,NA
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,18,15,5,6,11,0,42.8,B+,42.5,B+,36.8033,Dist+,NA,NA,93.333,80,66.667,3,44.4444,B+,33.333,33.333,3,33.333,0,NA,11,100,1,100,1,5,L2Pass
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,4,4,4,4,1,0,48.1818,A-,46.6102,A-,50,Dist*,NA,NA,100,75,75,3,51.1111,A,33.333,66.667,3,66.667,0,NA,1,100,0,NA,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,4,4,4,4,1,0,36.3636,B-,36.3636,B-,26,Merit,NA,NA,100,100,100,3,36.6667,B-,33.333,33.333,3,33.333,0,NA,1,100,0,NA,0,NA,NA
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,18,11,11,11,0,1,41.2308,B,41.2121,B,NA,NA,50,Dist*,90.909,90.909,90.909,10,40,B,40,50,10,30,1,100,0,NA,0,NA,0,NA,NA
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools,FSM,Unknown FSM eligibility,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,170,10,6,6,6,0,31.9048,C+,32.0175,C+,30,Dist-,NA,NA,50,66.667,66.667,3,25.5556,C-,0,0,3,0,9,0,15,40,15,26.667,4,6,L2Merit
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,31,7,7,7,0,0,23.8235,D+,23.9227,D+,NA,NA,NA,NA,57.143,57.143,57.143,6,22.2222,D+,0,0,6,0,3,0,3,0,2,0,0,NA,NA
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,78,6,6,6,0,0,34.2105,C+,34.2105,C+,NA,NA,NA,NA,100,100,100,6,32.7778,C+,0,16.667,6,16.667,8,0,8,0,7,42.857,3,6,L2Merit
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,292,64,55,55,11,1,33.986,C+,33.4109,C+,24.3333,Merit,40,Dist+,60.938,69.091,70.909,39,32.6496,C+,10.256,23.077,39,20.513,23,4.348,32,34.375,23,21.739,5,6,L2Merit
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,109,6,6,6,0,0,29.4118,C,29.2486,C,NA,NA,NA,NA,83.333,83.333,83.333,6,26.1111,C-,0,0,6,0,11,0,11,0,24,20.833,5,5.7778,L2Merit-
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,159,8,5,5,3,2,32.8571,C+,32.8571,C+,38.3333,Dist+,29.4444,Merit+,75,60,60,3,34.4444,C+,0,0,3,0,10,20,10,30,17,0,0,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,25,3,3,3,1,0,37.7778,B-,37.7778,B-,25,Merit,NA,NA,100,100,100,2,40,B,50,50,2,50,4,0,5,20,2,0,0,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,76,12,11,11,2,0,32.5862,C+,32.5862,C+,29.5,Merit+,NA,NA,75,81.818,81.818,8,32.0833,C+,12.5,12.5,8,12.5,8,0,9,22.222,8,0,0,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,280,52,33,36,24,3,34.7059,C+,34.3262,C+,23.1176,Merit-,35,Dist,67.308,69.697,63.889,24,32.6389,C+,16.667,16.667,24,12.5,20,15,41,58.537,32,3.125,1,6.5,L2Dist-
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,55,4,4,4,0,0,44.5,B+,44.7222,B+,NA,NA,NA,NA,100,100,100,3,40,B,33.333,66.667,3,66.667,7,0,7,0,9,11.111,1,5,L2Pass
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,22,2,1,2,0,0,42.5,B+,42.2222,B+,NA,NA,NA,NA,50,100,50,1,43.3333,B+,0,0,1,0,0,NA,0,NA,3,33.333,1,5,L2Pass
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,95,13,12,12,2,0,43.6986,B+,43.6986,B+,31.8,Dist-,NA,NA,92.308,100,100,11,43.6364,B+,45.455,54.545,11,54.545,8,0,10,20,14,0,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,341,68,43,45,26,5,37.8713,B-,38.0039,B-,28.0769,Merit+,27.9545,Merit+,55.882,62.791,60,24,39.1667,B,12.5,29.167,24,20.833,22,22.727,39,66.667,29,10.345,3,5.8333,L2Merit
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,73,5,4,4,1,0,48.5714,A,48.5714,A,34,Dist,NA,NA,80,100,100,4,50,A,50,75,4,25,5,0,5,20,12,0,0,NA,NA
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,200,11,4,4,2,5,19.1667,D,19.2,D,44.5714,Dist*-,27.9412,Merit+,45.455,100,100,4,19.1667,D,0,0,4,0,10,50,7,28.571,20,5,1,6,L2Merit
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,25,5,5,5,0,0,46.4,A-,46.4,A-,NA,NA,NA,NA,80,80,80,4,47.5,A-,50,50,4,50,1,0,1,0,4,25,1,5,L2Pass
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,56,6,3,3,2,1,30,C,30,C,31.6667,Dist-,25,Merit,50,66.667,66.667,3,23.3333,D+,0,0,3,0,5,20,5,40,3,0,0,NA,NA
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,101,11,4,5,4,2,42.7273,B+,42.5424,B+,36.4516,Dist,28.3333,Merit+,54.545,100,80,3,43.3333,B+,33.333,66.667,3,33.333,4,50,6,66.667,3,33.333,1,6,L2Merit
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,231,36,19,21,21,2,34.0476,C+,33.4483,C+,27.3056,Merit+,35,Dist,63.889,73.684,66.667,11,30.9091,C,9.091,27.273,11,9.091,19,10.526,39,56.41,20,0,0,NA,NA
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,42,3,2,2,1,0,34,C+,34,C+,15,Pass,NA,NA,100,100,100,2,28.3333,C-,0,0,2,0,6,0,7,14.286,2,0,0,NA,NA
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,125,20,6,7,14,1,35.8065,B-,35.6962,B-,35.6579,Dist,40,Dist+,90,83.333,71.429,4,35,B-,25,25,4,25,3,33.333,16,87.5,1,100,1,5,L2Pass
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,12,5,4,4,2,0,48.1818,A-,46.6102,A-,38.75,Dist+,NA,NA,100,75,75,3,51.1111,A,33.333,66.667,3,66.667,0,NA,2,100,0,NA,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,57,11,6,6,5,2,38.6667,B,38.6667,B,35.08,Dist,41,Dist+,100,83.333,83.333,4,39.1667,B,25,50,4,50,4,50,6,83.333,4,0,0,NA,NA
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,272,59,33,34,20,9,34.5876,C+,34.4828,C+,30.9091,Dist-,24,Merit,71.186,93.939,91.176,28,34.6429,C+,21.429,28.571,28,21.429,16,56.25,27,77.778,14,14.286,2,5.75,L2Merit-
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,FSM,Unknown FSM eligibility,43,4,1,1,2,1,6.6667,E-,6.6667,E-,41,Dist+,30,Dist-,100,100,100,1,6.6667,E-,0,0,1,0,1,100,2,100,6,0,0,NA,NA
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,88,4,4,4,0,0,25.7143,C-,25.7143,C-,NA,NA,NA,NA,75,75,75,4,22.5,D+,0,0,4,0,0,NA,0,NA,2,0,0,NA,NA
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,45,7,6,6,2,0,31.7391,C+,31.7391,C+,31.6667,Dist-,NA,NA,71.429,50,50,5,19.3333,D,20,20,5,20,5,0,6,33.333,0,NA,0,NA,NA
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,34,2,2,2,0,0,28.4615,C,28.0882,C-,NA,NA,NA,NA,100,100,100,2,30,C,0,0,2,0,0,NA,0,NA,0,NA,0,NA,NA
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,108,12,11,11,4,1,22.3333,D+,22.3333,D+,31.8182,Dist-,25,Merit,50,27.273,27.273,3,22.2222,D+,0,0,3,0,5,20,8,50,0,NA,0,NA,NA
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,47,4,4,4,0,0,21.5,D,21.5,D,NA,NA,NA,NA,75,75,75,3,23.3333,D+,0,0,3,0,8,0,8,0,3,33.333,1,8,L2Dist*
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,81,9,8,8,3,1,25.2941,C-,25.2941,C-,31,Dist-,25,Merit,88.889,62.5,62.5,5,20.6667,D,0,0,5,0,1,100,4,100,0,NA,0,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,44,7,4,4,5,2,30,C,30,C,18.125,Pass+,25,Merit,85.714,50,50,2,25,C-,0,0,2,0,2,100,5,100,1,0,0,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,39,3,2,2,1,0,29.0909,C,29.0909,C,35,Dist,NA,NA,66.667,50,50,1,30,C,0,0,1,0,1,0,2,50,0,NA,0,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,110,13,10,10,9,3,30,C,30.1899,C,30.7813,Dist-,36.8182,Dist+,92.308,30,30,3,35.5556,B-,0,0,3,0,4,75,9,100,0,NA,0,NA,NA
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,44,9,9,9,1,0,37.8261,B-,37.8261,B-,31.6667,Dist-,NA,NA,100,88.889,88.889,8,32.9167,C+,12.5,37.5,8,37.5,7,0,8,12.5,3,0,0,NA,NA
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,30,4,3,3,1,0,41.25,B,41.25,B,18,Pass+,NA,NA,100,100,100,3,36.6667,B-,0,33.333,3,33.333,0,NA,1,100,0,NA,0,NA,NA
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,43,7,6,6,6,1,31.1111,C,31.1111,C,37.1,Dist+,35,Dist,100,50,50,1,16.6667,D-,0,0,1,0,1,100,6,100,0,NA,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,94,13,8,8,7,2,30,C,29.881,C,31.4,Dist-,31.6667,Dist-,84.615,75,75,4,24.1667,D+,0,25,4,0,3,66.667,9,88.889,1,0,0,NA,NA
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,48,6,6,6,0,0,34,C+,34,C+,NA,NA,NA,NA,83.333,83.333,83.333,6,28.3333,C-,16.667,16.667,6,0,4,0,4,0,0,NA,0,NA,NA
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,96,8,6,7,3,0,38.125,B-,37.0349,B-,34.2857,Dist,NA,NA,100,83.333,71.429,5,38.6667,B,20,20,5,20,0,NA,3,100,3,0,0,NA,NA
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,7,3,2,2,3,0,46.6667,A-,46.6667,A-,37,Dist+,NA,NA,100,50,50,0,NA,NA,NA,NA,0,NA,0,NA,3,100,0,NA,0,NA,NA
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,4,4,3,3,2,0,36.6667,B-,36.6667,B-,34,Dist,NA,NA,100,66.667,66.667,2,36.6667,B-,0,0,2,0,0,NA,2,100,0,NA,0,NA,NA
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,20,7,5,5,3,0,34.3478,C+,34.3478,C+,38.5714,Dist+,NA,NA,85.714,60,60,4,29.1667,C,0,25,4,0,1,0,4,75,0,NA,0,NA,NA
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,30,11,10,10,4,1,35.5556,B-,35.5556,B-,39,Dist+,25,Merit,100,100,100,7,36.1905,B-,14.286,28.571,7,14.286,1,100,4,100,0,NA,0,NA,NA
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,9,3,3,3,0,0,25.5556,C-,26.0215,C-,NA,NA,NA,NA,100,100,100,3,25.5556,C-,0,0,3,0,2,0,2,0,1,0,0,NA,NA
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,106,10,5,6,6,0,40.6667,B,40.641,B,28.8571,Merit+,NA,NA,80,100,83.333,4,43.3333,B+,50,50,4,50,2,0,6,100,1,0,0,NA,NA
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,25,5,5,5,3,0,31.1111,C,30.8163,C,32.5,Dist-,NA,NA,100,60,60,2,18.3333,D-,0,0,2,0,0,NA,3,100,0,NA,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,47,2,1,1,2,1,30,C,30,C,34.5,Dist,42.5,Dist*-,100,100,100,0,NA,NA,NA,NA,0,NA,1,100,2,100,0,NA,0,NA,NA
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,127,16,14,14,5,4,28.125,C-,28.541,C,26.4286,Merit,40,Dist+,100,92.857,92.857,9,21.8519,D+,0,0,9,0,5,80,6,83.333,0,NA,0,NA,NA
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools,SEN Provision,Total EHC plans and statements of SEN,49,10,8,8,5,3,45.3333,A-,45.2288,A-,34,Dist,25,Merit,90,62.5,62.5,5,34,C+,20,20,5,20,4,75,6,83.333,1,0,0,NA,NA
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,143,5,4,5,0,0,25.7143,C-,24.5455,D+,NA,NA,NA,NA,60,75,60,4,22.5,D+,0,0,4,0,7,0,7,0,14,50,7,4.3704,L1Dist+
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,73,8,7,7,2,0,30.4167,C,30.4167,C,31.6667,Dist-,NA,NA,62.5,42.857,42.857,5,19.3333,D,20,20,5,20,11,0,12,16.667,12,16.667,2,6,L2Merit
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,200,11,10,10,2,0,34.0385,C+,33.8783,C+,25.5,Merit,NA,NA,81.818,80,80,8,32.9167,C+,12.5,12.5,8,12.5,25,0,27,7.407,53,47.17,25,5.5591,L2Merit-
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,178,15,12,12,7,1,25.2778,C-,25.2778,C-,32.381,Dist-,25,Merit,53.333,33.333,33.333,5,24,D+,0,0,5,0,14,7.143,20,35,12,8.333,2,4,L1Dist
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,164,7,6,6,1,0,22,D+,22,D+,25,Merit,NA,NA,71.429,83.333,83.333,5,21.3333,D,0,0,5,0,17,0,18,5.556,36,47.222,16,5.2239,L2Pass+
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,150,11,10,10,3,1,25.2778,C-,25.2778,C-,31,Dist-,25,Merit,72.727,50,50,5,20.6667,D,0,0,5,0,5,20,8,50,14,0,0,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,60,7,4,4,5,2,30,C,30,C,18.125,Pass+,25,Merit,85.714,50,50,2,25,C-,0,0,2,0,5,40,8,62.5,6,0,0,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,173,7,5,5,2,0,36.3636,B-,36.3636,B-,28.3333,Merit+,NA,NA,42.857,40,40,3,31.1111,C,33.333,33.333,3,33.333,21,0,23,8.696,42,0,0,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,207,17,13,13,10,3,32.2727,C+,32.3767,C+,29.4286,Merit+,36.8182,Dist+,82.353,38.462,38.462,5,37.3333,B-,20,20,5,20,11,27.273,17,58.824,22,18.182,4,3.125,L1Merit
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,159,11,11,11,1,0,34.9091,C+,34.9091,C+,31.6667,Dist-,NA,NA,90.909,81.818,81.818,9,32.5926,C+,11.111,33.333,9,33.333,20,0,21,4.762,38,2.632,1,5,L2Pass
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,SEN Provision,Total EHC plans and statements of SEN,62,4,3,3,1,0,41.25,B,41.25,B,18,Pass+,NA,NA,100,100,100,3,36.6667,B-,0,33.333,3,33.333,2,0,3,33.333,9,0,0,NA,NA
