unit_title,Craven,Hambleton,Harrogate,Richmondshire,Ryedale,Scarborough,Selby,York,Total
Security guards and related occupations,0.0,39.0,0.0,0.0,0.0,9.0,6.0,130.0,184.0
"Business, research and administrative professionals n.e.c.",20.0,0.0,0.0,0.0,23.0,0.0,0.0,138.0,181.0
Transport and distribution clerks and assistants,78.0,12.0,77.0,0.0,5.0,5.0,0.0,0.0,177.0
Laboratory technicians,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0
"Sports coaches, instructors and officials",0.0,43.0,0.0,0.0,4.0,11.0,108.0,0.0,166.0
Functional managers and directors n.e.c.,129.0,0.0,0.0,0.0,0.0,2.0,30.0,0.0,161.0
Butchers,0.0,0.0,0.0,79.0,71.0,4.0,0.0,0.0,154.0
Health professionals n.e.c.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0
Financial accounts managers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,144.0
Business and related research professionals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0
Chemical scientists,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0
Personal assistants and other secretaries,38.0,4.0,62.0,0.0,6.0,27.0,0.0,0.0,137.0
Farmers,0.0,0.0,0.0,0.0,5.0,0.0,120.0,0.0,125.0
Physical scientists,29.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
Dental nurses,0.0,0.0,115.0,0.0,0.0,3.0,0.0,0.0,118.0
Nursery nurses and assistants,23.0,16.0,33.0,0.0,0.0,13.0,27.0,0.0,112.0
Finance and investment analysts and advisers,23.0,0.0,56.0,0.0,22.0,0.0,7.0,0.0,108.0
Vocational and industrial trainers and instructors,34.0,4.0,51.0,0.0,8.0,2.0,0.0,0.0,99.0
Housekeepers and related occupations,0.0,0.0,74.0,1.0,0.0,19.0,0.0,0.0,94.0
"Journalists, newspaper and periodical editors",52.0,0.0,0.0,0.0,0.0,10.0,31.0,0.0,93.0
Taxation experts,0.0,0.0,85.0,1.0,0.0,0.0,0.0,0.0,86.0
"Packers, bottlers, canners and fillers",0.0,35.0,34.0,2.0,10.0,0.0,0.0,0.0,81.0
Communication operators,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,79.0
Telephone salespersons,12.0,0.0,66.0,1.0,0.0,0.0,0.0,0.0,79.0
Vehicle body builders and repairers,0.0,5.0,58.0,0.0,0.0,0.0,8.0,0.0,71.0
Legal associate professionals,0.0,0.0,67.0,0.0,0.0,4.0,0.0,0.0,71.0
Metal machining setters and setter-operators,18.0,19.0,0.0,0.0,0.0,0.0,30.0,0.0,67.0
Other elementary services occupations n.e.c.,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,67.0
Graphic designers,29.0,0.0,28.0,8.0,0.0,0.0,0.0,0.0,65.0
Elementary process plant occupations n.e.c.,0.0,45.0,0.0,1.0,9.0,10.0,0.0,0.0,65.0
Bus and coach drivers,0.0,0.0,57.0,0.0,0.0,2.0,0.0,0.0,59.0
Other drivers and transport operatives n.e.c.,0.0,0.0,0.0,52.0,0.0,6.0,0.0,0.0,58.0
Cleaning and housekeeping managers and supervisors,19.0,8.0,0.0,1.0,0.0,2.0,24.0,0.0,54.0
Fork-lift truck drivers,0.0,48.0,0.0,0.0,0.0,0.0,5.0,0.0,53.0
Conference and exhibition managers and organisers,0.0,0.0,45.0,0.0,7.0,0.0,0.0,0.0,52.0
Construction operatives n.e.c.,0.0,37.0,0.0,0.0,0.0,13.0,0.0,0.0,50.0
Telephonists,17.0,12.0,0.0,0.0,0.0,0.0,19.0,0.0,48.0
Legal secretaries,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0
Smiths and forge workers,0.0,0.0,0.0,0.0,5.0,0.0,40.0,0.0,45.0
"Launderers, dry cleaners and pressers",0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0
Groundsmen and greenkeepers,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0
Vehicle and parts salespersons and advisers,0.0,0.0,29.0,4.0,0.0,0.0,6.0,0.0,39.0
Welfare and housing associate professionals n.e.c.,0.0,0.0,0.0,0.0,13.0,5.0,21.0,0.0,39.0
Credit controllers,0.0,5.0,0.0,0.0,33.0,0.0,0.0,0.0,38.0
Ophthalmic opticians,0.0,20.0,0.0,0.0,16.0,0.0,0.0,0.0,36.0
Prison service officers (below principal officer),34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Chemical and related process operatives,0.0,5.0,0.0,0.0,0.0,0.0,28.0,0.0,33.0
Managers and proprietors in agriculture and horticulture,0.0,0.0,0.0,1.0,10.0,0.0,20.0,0.0,31.0
Footwear and leather working trades,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0
Textile process operatives,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0
Vehicle paint technicians,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0
Chief executives and senior officials,0.0,5.0,0.0,0.0,13.0,0.0,11.0,0.0,29.0
Plastics process operatives,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
Construction and building trades n.e.c.,14.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,26.0
Restaurant and catering establishment managers and proprietors,0.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,25.0
Printers,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,25.0
Inspectors of standards and regulations,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Assemblers (vehicles and metal goods),0.0,6.0,0.0,14.0,0.0,0.0,5.0,0.0,25.0
Research and development managers,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Managers and directors in retail and wholesale,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0
"Tool makers, tool fitters and markers-out",17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0
Agricultural machinery drivers,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
Social services managers and directors,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
Psychologists,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0
Electroplaters,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
Aircraft maintenance and related trades,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,19.0
Cooks,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,19.0
Office supervisors,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0
Conservation professionals,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Vehicle valeters and cleaners,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0
Police officers (sergeant and below),19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Furniture makers and other craft woodworkers,0.0,10.0,0.0,1.0,0.0,8.0,0.0,0.0,19.0
Company secretaries,0.0,8.0,0.0,1.0,9.0,0.0,0.0,0.0,18.0
"Scaffolders, stagers and riggers",0.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,18.0
Farm workers,0.0,0.0,0.0,5.0,7.0,0.0,5.0,0.0,17.0
Library clerks and assistants,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
"Residential, day and domiciliary  care managers and proprietors",17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Health associate professionals n.e.c.,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,17.0
Social workers,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,16.0
Human resources administrative occupations,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0
Artists,0.0,0.0,0.0,0.0,5.0,3.0,6.0,0.0,14.0
Secondary education teaching professionals,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0
Call and contact centre occupations,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0
Marine and waterways transport operatives,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
Hairdressers and barbers,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Managers and directors in transport and distribution,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0
