unit_title,Bradford,Calderdale,Kirklees,Leeds,Wakefield,Total
"Product, clothing and related designers",0.0,6.0,0.0,74.0,0.0,80.0
Laboratory technicians,9.0,3.0,5.0,63.0,0.0,80.0
Educational support assistants,10.0,9.0,0.0,54.0,4.0,77.0
Pipe fitters,8.0,8.0,7.0,45.0,8.0,76.0
Youth and community workers,0.0,6.0,5.0,61.0,0.0,72.0
Health care practice managers,0.0,2.0,0.0,48.0,22.0,72.0
Catering and bar managers,5.0,3.0,3.0,52.0,8.0,71.0
Waiters and waitresses,12.0,0.0,0.0,59.0,0.0,71.0
"Skilled metal, electrical and electronic trades supervisors",24.0,2.0,8.0,35.0,0.0,69.0
Taxation experts,0.0,11.0,9.0,36.0,13.0,69.0
"Journalists, newspaper and periodical editors",10.0,13.0,0.0,46.0,0.0,69.0
Physiotherapists,0.0,0.0,19.0,45.0,5.0,69.0
Psychologists,0.0,0.0,0.0,67.0,0.0,67.0
"Packers, bottlers, canners and fillers",34.0,17.0,11.0,0.0,4.0,66.0
Bricklayers and masons,9.0,2.0,0.0,53.0,0.0,64.0
Hairdressers and barbers,8.0,2.0,8.0,0.0,45.0,63.0
Probation officers,0.0,0.0,0.0,38.0,24.0,62.0
Counsellors,5.0,0.0,6.0,45.0,6.0,62.0
Careers advisers and vocational guidance specialists,0.0,0.0,0.0,62.0,0.0,62.0
Bus and coach drivers,61.0,0.0,0.0,0.0,0.0,61.0
Vehicle valeters and cleaners,34.0,3.0,6.0,0.0,18.0,61.0
"Debt, rent and other cash collectors",14.0,5.0,0.0,42.0,0.0,61.0
IT specialist managers,0.0,2.0,0.0,46.0,13.0,61.0
"Textiles, garments and related trades n.e.c.",6.0,0.0,0.0,38.0,16.0,60.0
Telephonists,14.0,0.0,0.0,46.0,0.0,60.0
Legal professionals n.e.c.,0.0,4.0,0.0,50.0,6.0,60.0
Pharmaceutical technicians,7.0,0.0,3.0,0.0,49.0,59.0
School midday and crossing patrol occupations,5.0,0.0,0.0,0.0,53.0,58.0
Education advisers and school inspectors,0.0,0.0,0.0,57.0,0.0,57.0
Speech and language therapists,0.0,1.0,14.0,36.0,6.0,57.0
Furniture makers and other craft woodworkers,5.0,7.0,5.0,34.0,4.0,55.0
Elected officers and representatives,0.0,0.0,10.0,44.0,0.0,54.0
Therapy professionals n.e.c.,0.0,2.0,8.0,0.0,42.0,52.0
Natural and social science professionals n.e.c.,0.0,0.0,0.0,46.0,0.0,46.0
Plasterers,4.0,0.0,0.0,39.0,0.0,43.0
Chemical and related process operatives,6.0,2.0,0.0,34.0,0.0,42.0
Dental nurses,0.0,8.0,24.0,0.0,9.0,41.0
"Photographers, audio-visual and broadcasting equipment operators",10.0,13.0,10.0,0.0,8.0,41.0
Ophthalmic opticians,0.0,0.0,0.0,40.0,0.0,40.0
Houseparents and residential wardens,0.0,0.0,0.0,37.0,0.0,37.0
Pest control officers,0.0,2.0,0.0,35.0,0.0,37.0
Collector salespersons and credit agents,5.0,0.0,20.0,0.0,6.0,31.0
Upholsterers,16.0,0.0,7.0,0.0,6.0,29.0
Vehicle and parts salespersons and advisers,0.0,0.0,26.0,0.0,0.0,26.0
Pharmacy and other dispensing assistants,25.0,0.0,0.0,0.0,0.0,25.0
Pre-press technicians,0.0,6.0,3.0,0.0,16.0,25.0
Vehicle body builders and repairers,0.0,4.0,15.0,0.0,5.0,24.0
Elementary sales occupations n.e.c.,24.0,0.0,0.0,0.0,0.0,24.0
Assemblers (electrical and electronic products),8.0,0.0,5.0,0.0,11.0,24.0
Typists and related keyboard occupations,6.0,0.0,0.0,0.0,18.0,24.0
Electronics engineers,0.0,4.0,17.0,0.0,0.0,21.0
"Roofers, roof tilers and slaters",0.0,3.0,0.0,0.0,18.0,21.0
"Tool makers, tool fitters and markers-out",8.0,0.0,4.0,0.0,8.0,20.0
Refuse and salvage occupations,14.0,0.0,5.0,0.0,0.0,19.0
National government administrative occupations,0.0,0.0,0.0,0.0,18.0,18.0
Routine inspectors and testers,0.0,5.0,12.0,0.0,0.0,17.0
Veterinary nurses,0.0,0.0,0.0,0.0,16.0,16.0
Fire service officers (watch manager and below),0.0,0.0,0.0,0.0,16.0,16.0
Brokers,0.0,10.0,0.0,0.0,6.0,16.0
Printers,0.0,4.0,5.0,0.0,7.0,16.0
Paramedics,0.0,0.0,0.0,0.0,14.0,14.0
"Moulders, core makers and die casters",14.0,0.0,0.0,0.0,0.0,14.0
Occupational therapists,0.0,0.0,13.0,0.0,0.0,13.0
Architectural and town planning technicians,0.0,0.0,13.0,0.0,0.0,13.0
"TV, video and audio engineers",0.0,0.0,8.0,0.0,5.0,13.0
Street cleaners,13.0,0.0,0.0,0.0,0.0,13.0
Dispensing opticians,9.0,0.0,0.0,0.0,4.0,13.0
Dental practitioners,0.0,0.0,13.0,0.0,0.0,13.0
"Senior officers in fire, ambulance, prison and related services",0.0,0.0,0.0,0.0,13.0,13.0
Retail cashiers and check-out operators,7.0,0.0,0.0,0.0,5.0,12.0
Ship and hovercraft officers,0.0,0.0,12.0,0.0,0.0,12.0
Paper and wood machine operatives,0.0,0.0,12.0,0.0,0.0,12.0
Driving instructors,12.0,0.0,0.0,0.0,0.0,12.0
Assemblers and routine operatives n.e.c.,11.0,0.0,0.0,0.0,0.0,11.0
Taxi and cab drivers and chauffeurs,7.0,0.0,3.0,0.0,0.0,10.0
Financial institution managers and directors,0.0,0.0,0.0,0.0,10.0,10.0
Textile process operatives,0.0,4.0,6.0,0.0,0.0,10.0
Call and contact centre occupations,7.0,2.0,0.0,0.0,0.0,9.0
Fishing and other elementary agriculture occupations n.e.c.,0.0,0.0,9.0,0.0,0.0,9.0
Clergy,0.0,0.0,0.0,0.0,9.0,9.0
