date,geography_code,geography_name,age_detailed,sex,ethnicity_group,personal_and_community_development_learning,neighbourhood_learning_in_deprived_communities,family_english_maths_and_language,wider_family_learning,total,ach_total,ach_personal_and_community_development_learning,ach_neighbourhood_learning_in_deprived_communities,ach_family_english_maths_and_language,ach_wider_family_learning
2021/22,E07000163,Craven,Under 19,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Female,Total,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Female,White,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Male,Total,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Male,White,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Total,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Total,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Total,Total,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Total,White,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Female,Total,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Female,White,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Male,Total,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Male,White,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Total,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Total,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Total,Total,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Unknown,Total,White,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Female,Total,10,low,low,low,10,10,10,low,low,low
2021/22,E07000164,Hambleton,19-24,Female,White,10,low,low,low,10,10,10,low,low,low
2021/22,E07000164,Hambleton,19-24,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Male,Total,10,low,low,low,10,10,10,low,low,low
2021/22,E07000164,Hambleton,19-24,Male,White,10,low,low,low,10,10,10,low,low,low
2021/22,E07000164,Hambleton,19-24,Total,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Total,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,19-24,Total,Total,20,low,low,low,20,10,10,low,low,low
