date,geography_name,geography_code,subject_level,age_youth_adult,achievements,participation
2021/22,Leeds,E08000035,ESOL Entry Level,Adult,2860,3060
2021/22,Richmondshire,E07000166,ESOL Entry Level,Adult,10,10
2021/22,Ryedale,E07000167,ESOL Entry Level,Adult,10,10
2021/22,Scarborough,E07000168,ESOL Entry Level,Adult,20,20
2021/22,Selby,E07000169,ESOL Entry Level,Adult,20,30
2021/22,Wakefield,E08000036,ESOL Entry Level,Adult,350,420
2021/22,York,E06000014,ESOL Entry Level,Adult,40,60
2021/22,Bradford,E08000032,ESOL Entry Level,Youth,0,0
2021/22,Calderdale,E08000033,ESOL Entry Level,Youth,0,0
2021/22,Craven,E07000163,ESOL Entry Level,Youth,0,0
2021/22,Hambleton,E07000164,ESOL Entry Level,Youth,0,0
2021/22,Harrogate,E07000165,ESOL Entry Level,Youth,0,0
2021/22,Kirklees,E08000034,ESOL Entry Level,Youth,0,0
2021/22,Leeds,E08000035,ESOL Entry Level,Youth,0,0
2021/22,Richmondshire,E07000166,ESOL Entry Level,Youth,0,0
2021/22,Ryedale,E07000167,ESOL Entry Level,Youth,0,0
2021/22,Scarborough,E07000168,ESOL Entry Level,Youth,0,0
2021/22,Selby,E07000169,ESOL Entry Level,Youth,0,0
2021/22,Wakefield,E08000036,ESOL Entry Level,Youth,0,0
2021/22,York,E06000014,ESOL Entry Level,Youth,0,0
2021/22,Bradford,E08000032,ESOL Level 1,Adult,130,150
2021/22,Calderdale,E08000033,ESOL Level 1,Adult,30,30
2021/22,Craven,E07000163,ESOL Level 1,Adult,0,low
2021/22,Hambleton,E07000164,ESOL Level 1,Adult,low,10
2021/22,Harrogate,E07000165,ESOL Level 1,Adult,10,20
2021/22,Kirklees,E08000034,ESOL Level 1,Adult,150,200
2021/22,Leeds,E08000035,ESOL Level 1,Adult,220,280
2021/22,Richmondshire,E07000166,ESOL Level 1,Adult,low,low
2021/22,Ryedale,E07000167,ESOL Level 1,Adult,low,10
2021/22,Scarborough,E07000168,ESOL Level 1,Adult,10,10
2021/22,Selby,E07000169,ESOL Level 1,Adult,10,10
2021/22,Wakefield,E08000036,ESOL Level 1,Adult,100,110
2021/22,York,E06000014,ESOL Level 1,Adult,10,20
2021/22,Bradford,E08000032,ESOL Level 1,Youth,0,0
2021/22,Calderdale,E08000033,ESOL Level 1,Youth,0,0
2021/22,Craven,E07000163,ESOL Level 1,Youth,0,0
2021/22,Hambleton,E07000164,ESOL Level 1,Youth,0,0
2021/22,Harrogate,E07000165,ESOL Level 1,Youth,0,0
2021/22,Kirklees,E08000034,ESOL Level 1,Youth,0,0
2021/22,Leeds,E08000035,ESOL Level 1,Youth,0,0
2021/22,Richmondshire,E07000166,ESOL Level 1,Youth,0,0
2021/22,Ryedale,E07000167,ESOL Level 1,Youth,0,0
2021/22,Scarborough,E07000168,ESOL Level 1,Youth,0,0
2021/22,Selby,E07000169,ESOL Level 1,Youth,0,0
2021/22,Wakefield,E08000036,ESOL Level 1,Youth,0,0
2021/22,York,E06000014,ESOL Level 1,Youth,0,0
2021/22,Bradford,E08000032,ESOL Level 2,Adult,10,10
2021/22,Calderdale,E08000033,ESOL Level 2,Adult,0,0
2021/22,Craven,E07000163,ESOL Level 2,Adult,0,0
2021/22,Hambleton,E07000164,ESOL Level 2,Adult,0,0
2021/22,Harrogate,E07000165,ESOL Level 2,Adult,10,10
2021/22,Kirklees,E08000034,ESOL Level 2,Adult,100,120
2021/22,Leeds,E08000035,ESOL Level 2,Adult,40,40
2021/22,Richmondshire,E07000166,ESOL Level 2,Adult,0,0
2021/22,Ryedale,E07000167,ESOL Level 2,Adult,0,0
2021/22,Scarborough,E07000168,ESOL Level 2,Adult,low,low
2021/22,Selby,E07000169,ESOL Level 2,Adult,low,low
2021/22,Wakefield,E08000036,ESOL Level 2,Adult,30,30
2021/22,York,E06000014,ESOL Level 2,Adult,0,0
2021/22,Bradford,E08000032,ESOL Level 2,Youth,0,0
2021/22,Calderdale,E08000033,ESOL Level 2,Youth,0,0
2021/22,Craven,E07000163,ESOL Level 2,Youth,0,0
2021/22,Hambleton,E07000164,ESOL Level 2,Youth,0,0
2021/22,Harrogate,E07000165,ESOL Level 2,Youth,0,0
2021/22,Kirklees,E08000034,ESOL Level 2,Youth,0,0
2021/22,Leeds,E08000035,ESOL Level 2,Youth,0,0
2021/22,Richmondshire,E07000166,ESOL Level 2,Youth,0,0
2021/22,Ryedale,E07000167,ESOL Level 2,Youth,0,0
2021/22,Scarborough,E07000168,ESOL Level 2,Youth,0,0
2021/22,Selby,E07000169,ESOL Level 2,Youth,0,0
2021/22,Wakefield,E08000036,ESOL Level 2,Youth,0,0
2021/22,York,E06000014,ESOL Level 2,Youth,0,0
2021/22,Bradford,E08000032,Essential Digital Skills,Adult,140,280
2021/22,Calderdale,E08000033,Essential Digital Skills,Adult,30,50
2021/22,Craven,E07000163,Essential Digital Skills,Adult,10,10
2021/22,Hambleton,E07000164,Essential Digital Skills,Adult,low,low
2021/22,Harrogate,E07000165,Essential Digital Skills,Adult,low,10
2021/22,Kirklees,E08000034,Essential Digital Skills,Adult,110,200
2021/22,Leeds,E08000035,Essential Digital Skills,Adult,120,200
2021/22,Richmondshire,E07000166,Essential Digital Skills,Adult,low,low
2021/22,Ryedale,E07000167,Essential Digital Skills,Adult,low,low
2021/22,Scarborough,E07000168,Essential Digital Skills,Adult,low,low
2021/22,Selby,E07000169,Essential Digital Skills,Adult,low,10
2021/22,Wakefield,E08000036,Essential Digital Skills,Adult,40,70
2021/22,York,E06000014,Essential Digital Skills,Adult,10,10
2021/22,Bradford,E08000032,Essential Digital Skills,Youth,0,0
2021/22,Calderdale,E08000033,Essential Digital Skills,Youth,0,0
2021/22,Craven,E07000163,Essential Digital Skills,Youth,0,0
2021/22,Hambleton,E07000164,Essential Digital Skills,Youth,0,0
2021/22,Harrogate,E07000165,Essential Digital Skills,Youth,0,0
2021/22,Kirklees,E08000034,Essential Digital Skills,Youth,0,0
2021/22,Leeds,E08000035,Essential Digital Skills,Youth,0,0
2021/22,Richmondshire,E07000166,Essential Digital Skills,Youth,0,0
2021/22,Ryedale,E07000167,Essential Digital Skills,Youth,0,0
2021/22,Scarborough,E07000168,Essential Digital Skills,Youth,0,0
2021/22,Selby,E07000169,Essential Digital Skills,Youth,0,0
2021/22,Wakefield,E08000036,Essential Digital Skills,Youth,0,0
2021/22,York,E06000014,Essential Digital Skills,Youth,0,0
2021/22,Bradford,E08000032,Essential Digital Skills Entry Level,Adult,120,220
2021/22,Calderdale,E08000033,Essential Digital Skills Entry Level,Adult,20,40
2021/22,Craven,E07000163,Essential Digital Skills Entry Level,Adult,10,10
2021/22,Hambleton,E07000164,Essential Digital Skills Entry Level,Adult,0,0
2021/22,Harrogate,E07000165,Essential Digital Skills Entry Level,Adult,low,low
2021/22,Kirklees,E08000034,Essential Digital Skills Entry Level,Adult,80,140
2021/22,Leeds,E08000035,Essential Digital Skills Entry Level,Adult,80,130
2021/22,Richmondshire,E07000166,Essential Digital Skills Entry Level,Adult,0,0
2021/22,Ryedale,E07000167,Essential Digital Skills Entry Level,Adult,0,low
2021/22,Scarborough,E07000168,Essential Digital Skills Entry Level,Adult,low,low
2021/22,Selby,E07000169,Essential Digital Skills Entry Level,Adult,low,low
