date,new_la_code,la_name,geography_code,geography_name,apprenticeships_or_further_education,level_or_type,age_group,starts,participation,achievements,starts_rate_per_100000_population,participation_rate_per_100000_population,achievements_rate_per_100000_population
2018/19,,,E08000032,Bradford,Education and training,Education and training: Full Level 2,Total,NA,290,210,NA,93,68
2018/19,,,E08000032,Bradford,Education and training,Education and training: Full Level 2,19-24,NA,110,70,NA,272,188
2018/19,,,E08000032,Bradford,Education and training,Education and training: Full Level 2,25+,NA,180,140,NA,68,51
2018/19,,,E08000032,Bradford,Education and training,Education and training: Full Level 3,Total,NA,720,490,NA,233,159
2018/19,,,E08000032,Bradford,Education and training,Education and training: Full Level 3,19-24,NA,490,350,NA,1251,889
2018/19,,,E08000032,Bradford,Education and training,Education and training: Full Level 3,25+,NA,230,150,NA,86,54
2018/19,,,E08000032,Bradford,Education and training,Education and training: No Level Assigned,Total,NA,110,70,NA,36,23
2018/19,,,E08000032,Bradford,Education and training,Education and training: No Level Assigned,19-24,NA,110,70,NA,275,172
2018/19,,,E08000032,Bradford,Education and training,Education and training: No Level Assigned,25+,NA,low,low,NA,low,low
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Total,Total,NA,4210,3040,NA,1277,920
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Total,Under 19,NA,10,10,NA,51,51
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Total,19-24,NA,300,220,NA,760,570
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Total,25+,NA,3910,2800,NA,1449,1040
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Personal and community development learning,Total,NA,3290,2140,NA,998,648
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Personal and community development learning,Under 19,NA,10,10,NA,23,23
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Personal and community development learning,19-24,NA,250,180,NA,645,457
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Personal and community development learning,25+,NA,3040,1960,NA,1126,726
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Family english maths and language,Total,NA,140,140,NA,42,42
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Family english maths and language,Under 19,NA,low,low,NA,low,low
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Family english maths and language,19-24,NA,low,low,NA,low,low
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Family english maths and language,25+,NA,130,130,NA,49,49
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Wider family learning,Total,NA,790,770,NA,240,232
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Wider family learning,Under 19,NA,low,low,NA,low,low
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Wider family learning,19-24,NA,30,30,NA,87,85
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Wider family learning,25+,NA,750,730,NA,279,271
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Neighbourhood learning in deprived communities,Total,NA,60,60,NA,18,17
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Neighbourhood learning in deprived communities,19-24,NA,10,10,NA,26,26
2018/19,,,E08000032,Bradford,Community Learning,Community learning: Neighbourhood learning in deprived communities,25+,NA,50,50,NA,18,17
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Total,Total,NA,9760,7230,NA,7954,5896
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Total,19-24,NA,2110,1280,NA,16823,10146
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Total,25+,NA,7640,5960,NA,6942,5410
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 2,Total,NA,2530,1740,NA,2058,1415
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 2,19-24,NA,700,410,NA,5555,3223
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 2,25+,NA,1830,1330,NA,1659,1209
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 3,Total,NA,1900,720,NA,1548,588
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 3,19-24,NA,880,340,NA,6979,2738
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 3,25+,NA,1020,380,NA,928,342
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),Total,NA,2050,1930,NA,1671,1572
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),19-24,NA,330,300,NA,2610,2348
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),25+,NA,1720,1630,NA,1564,1484
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Basic Skills,Total,NA,1870,1190,NA,1527,971
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Basic Skills,19-24,NA,430,260,NA,3454,2093
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Basic Skills,25+,NA,1440,930,NA,1308,843
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 4+,Total,NA,540,90,NA,437,73
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 4+,19-24,NA,160,30,NA,1297,263
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 4+,25+,NA,370,60,NA,339,51
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 2,Total,NA,840,360,NA,688,292
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 2,19-24,NA,410,180,NA,3255,1464
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 2,25+,NA,440,170,NA,395,158
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 3,Total,NA,1640,580,NA,1335,470
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 3,19-24,NA,810,300,NA,6406,2356
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 3,25+,NA,830,280,NA,756,255
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: No Level Assigned,Total,NA,3210,2850,NA,2616,2322
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: No Level Assigned,19-24,NA,250,230,NA,1958,1846
2018/19,,,E08000033,Calderdale,Further education and skills,Further education and skills: No Level Assigned,25+,NA,2960,2620,NA,2691,2376
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Total,Total,1750,3440,910,1350,2645,703
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Total,Under 19,530,880,320,7366,12106,4353
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Total,19-24,510,1150,270,4051,9112,2157
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Total,25+,710,1420,330,647,1285,298
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Intermediate,Total,630,1220,390,486,940,300
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Intermediate,Under 19,280,510,190,3911,7048,2640
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Intermediate,19-24,170,370,110,1321,2929,836
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Intermediate,25+,180,340,90,165,311,85
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Higher,Total,290,510,70,225,390,57
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Higher,Under 19,10,10,low,152,180,low
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Higher,19-24,80,150,30,661,1210,239
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Higher,25+,200,340,40,180,311,36
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Advanced,Total,830,1790,450,640,1379,346
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Advanced,Under 19,240,400,120,3303,5528,1658
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Advanced,19-24,260,660,140,2069,5236,1082
2018/19,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Advanced,25+,330,730,190,301,667,176
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Total,Total,NA,3720,3100,NA,3032,2528
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Total,19-24,NA,810,640,NA,6446,5109
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Total,25+,NA,2910,2460,NA,2643,2233
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Level 2,Total,NA,1810,1470,NA,1477,1198
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Level 2,19-24,NA,330,240,NA,2618,1942
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Level 2,25+,NA,1480,1230,NA,1347,1113
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Level 3,Total,NA,520,320,NA,426,258
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Level 3,19-24,NA,230,150,NA,1838,1186
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Level 3,25+,NA,290,170,NA,265,152
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Below Level 2 (excluding Basic Skills),Total,NA,1270,1170,NA,1034,956
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Below Level 2 (excluding Basic Skills),19-24,NA,290,260,NA,2276,2053
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Below Level 2 (excluding Basic Skills),25+,NA,980,920,NA,892,831
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Basic Skills,Total,NA,990,830,NA,803,679
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Basic Skills,19-24,NA,230,190,NA,1822,1496
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Basic Skills,25+,NA,760,650,NA,687,586
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Level 4+,Total,NA,50,20,NA,37,13
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Level 4+,19-24,NA,10,10,NA,103,40
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Level 4+,25+,NA,30,10,NA,30,10
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Full Level 2,Total,NA,130,90,NA,109,74
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Full Level 2,19-24,NA,40,20,NA,326,167
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Full Level 2,25+,NA,90,70,NA,84,64
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Full Level 3,Total,NA,250,170,NA,200,138
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Full Level 3,19-24,NA,150,100,NA,1162,780
2018/19,,,E08000033,Calderdale,Education and training,Education and training: Full Level 3,25+,NA,100,70,NA,90,64
2018/19,,,E08000033,Calderdale,Education and training,Education and training: No Level Assigned,Total,NA,70,70,NA,60,56
2018/19,,,E08000033,Calderdale,Education and training,Education and training: No Level Assigned,19-24,NA,70,70,NA,573,541
2018/19,,,E08000033,Calderdale,Education and training,Education and training: No Level Assigned,25+,NA,low,low,NA,low,low
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Total,Total,NA,3710,3320,NA,2854,2558
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Total,Under 19,NA,10,low,NA,69,low
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Total,19-24,NA,210,190,NA,1639,1520
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Total,25+,NA,3500,3130,NA,3176,2841
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Personal and community development learning,Total,NA,1390,1020,NA,1068,787
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Personal and community development learning,19-24,NA,80,70,NA,629,517
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Personal and community development learning,25+,NA,1310,960,NA,1189,870
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Family english maths and language,Total,NA,560,560,NA,429,429
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Family english maths and language,Under 19,NA,low,low,NA,low,low
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Family english maths and language,19-24,NA,20,20,NA,167,167
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Family english maths and language,25+,NA,540,540,NA,487,487
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Wider family learning,Total,NA,1540,1540,NA,1181,1181
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Wider family learning,Under 19,NA,low,low,NA,low,low
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Wider family learning,19-24,NA,60,60,NA,477,477
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Wider family learning,25+,NA,1470,1470,NA,1337,1337
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Neighbourhood learning in deprived communities,Total,NA,520,500,NA,399,382
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Neighbourhood learning in deprived communities,19-24,NA,60,60,NA,501,493
2018/19,,,E08000033,Calderdale,Community Learning,Community learning: Neighbourhood learning in deprived communities,25+,NA,460,430,NA,413,394
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Total,Total,NA,14880,10220,NA,5799,3985
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Total,19-24,NA,4140,2550,NA,12745,7839
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Total,25+,NA,10730,7670,NA,4790,3425
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 2,Total,NA,5810,4230,NA,2265,1649
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 2,19-24,NA,1650,1050,NA,5072,3223
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 2,25+,NA,4160,3180,NA,1858,1421
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 3,Total,NA,3430,1390,NA,1337,541
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 3,19-24,NA,1680,730,NA,5151,2233
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 3,25+,NA,1750,660,NA,783,296
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),Total,NA,2900,2610,NA,1128,1018
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),19-24,NA,660,590,NA,2033,1811
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),25+,NA,2230,2020,NA,997,903
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Basic Skills,Total,NA,4110,2600,NA,1603,1014
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Basic Skills,19-24,NA,970,560,NA,2989,1716
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Basic Skills,25+,NA,3140,2040,NA,1402,912
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 4+,Total,NA,1160,200,NA,453,79
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 4+,19-24,NA,350,70,NA,1073,203
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 4+,25+,NA,810,140,NA,363,61
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 2,Total,NA,1460,620,NA,571,242
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 2,19-24,NA,730,320,NA,2245,993
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 2,25+,NA,730,300,NA,328,133
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 3,Total,NA,2770,990,NA,1080,386
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 3,19-24,NA,1470,590,NA,4524,1821
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 3,25+,NA,1300,400,NA,580,178
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: No Level Assigned,Total,NA,2370,1950,NA,923,762
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: No Level Assigned,19-24,NA,350,310,NA,1070,938
2018/19,,,E08000034,Kirklees,Further education and skills,Further education and skills: No Level Assigned,25+,NA,2020,1650,NA,902,736
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Total,Total,3200,6030,1530,1175,2215,563
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Total,Under 19,970,1570,580,6271,10131,3719
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Total,19-24,920,2090,460,2836,6412,1421
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Total,25+,1300,2370,490,582,1057,221
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Intermediate,Total,1100,2130,660,406,781,244
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Intermediate,Under 19,500,880,330,3235,5678,2140
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Intermediate,19-24,320,670,170,978,2048,529
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Intermediate,25+,280,580,160,127,258,71
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Higher,Total,640,1040,130,235,382,47
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Higher,Under 19,30,40,10,193,238,58
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Higher,19-24,180,300,30,551,917,98
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Higher,25+,430,700,90,192,314,39
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Advanced,Total,1450,2990,740,534,1100,272
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Advanced,Under 19,440,710,240,2842,4589,1521
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Advanced,19-24,430,1180,260,1307,3635,793
2018/19,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Advanced,25+,590,1100,250,262,490,110
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Total,Total,NA,8440,6840,NA,3291,2667
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Total,19-24,NA,1960,1530,NA,6028,4702
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Total,25+,NA,6480,5310,NA,2894,2372
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Level 2,Total,NA,4580,3790,NA,1785,1475
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Level 2,19-24,NA,990,780,NA,3042,2396
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Level 2,25+,NA,3590,3010,NA,1602,1342
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Level 3,Total,NA,1180,720,NA,460,281
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Level 3,19-24,NA,510,330,NA,1565,1006
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Level 3,25+,NA,670,400,NA,300,176
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Below Level 2 (excluding Basic Skills),Total,NA,2780,2510,NA,1085,977
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Below Level 2 (excluding Basic Skills),19-24,NA,650,580,NA,1993,1781
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Below Level 2 (excluding Basic Skills),25+,NA,2140,1930,NA,953,860
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Basic Skills,Total,NA,2620,2060,NA,1022,801
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Basic Skills,19-24,NA,580,430,NA,1796,1319
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Basic Skills,25+,NA,2040,1630,NA,909,726
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Level 4+,Total,NA,170,70,NA,66,29
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Level 4+,19-24,NA,60,30,NA,169,83
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Level 4+,25+,NA,120,50,NA,51,21
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Full Level 2,Total,NA,220,170,NA,85,67
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Full Level 2,19-24,NA,60,50,NA,197,151
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Full Level 2,25+,NA,160,120,NA,69,54
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Full Level 3,Total,NA,490,320,NA,191,124
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Full Level 3,19-24,NA,290,190,NA,886,581
2018/19,,,E08000034,Kirklees,Education and training,Education and training: Full Level 3,25+,NA,200,130,NA,90,57
2018/19,,,E08000034,Kirklees,Education and training,Education and training: No Level Assigned,Total,NA,160,140,NA,64,55
2018/19,,,E08000034,Kirklees,Education and training,Education and training: No Level Assigned,19-24,NA,150,130,NA,474,406
2018/19,,,E08000034,Kirklees,Education and training,Education and training: No Level Assigned,25+,NA,10,10,NA,4,4
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Total,Total,NA,2290,1890,NA,842,695
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Total,Under 19,NA,low,low,NA,low,low
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Total,19-24,NA,200,180,NA,624,547
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Total,25+,NA,2090,1710,NA,931,763
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Personal and community development learning,Total,NA,1870,1490,NA,688,547
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Personal and community development learning,Under 19,NA,low,low,NA,low,low
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Personal and community development learning,19-24,NA,170,150,NA,532,458
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Personal and community development learning,25+,NA,1700,1340,NA,757,597
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Family english maths and language,Total,NA,80,70,NA,28,25
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Family english maths and language,Under 19,NA,low,low,NA,low,low
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Family english maths and language,19-24,NA,10,10,NA,15,15
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Family english maths and language,25+,NA,70,60,NA,31,27
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Wider family learning,Total,NA,180,180,NA,67,65
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Wider family learning,19-24,NA,10,10,NA,15,15
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Wider family learning,25+,NA,180,170,NA,79,77
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Neighbourhood learning in deprived communities,Total,NA,220,210,NA,81,77
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Neighbourhood learning in deprived communities,19-24,NA,30,20,NA,83,74
2018/19,,,E08000034,Kirklees,Community Learning,Community learning: Neighbourhood learning in deprived communities,25+,NA,190,190,NA,86,83
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Total,Total,NA,35460,25670,NA,7243,5243
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Total,19-24,NA,8480,5510,NA,9047,5875
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Total,25+,NA,26970,20160,NA,6815,5093
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 2,Total,NA,11410,7750,NA,2330,1582
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 2,19-24,NA,3060,1840,NA,3267,1965
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 2,25+,NA,8340,5900,NA,2108,1491
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 3,Total,NA,6060,2280,NA,1238,467
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 3,19-24,NA,2760,1140,NA,2939,1216
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 3,25+,NA,3300,1140,NA,835,289
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),Total,NA,9940,9050,NA,2031,1848
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),19-24,NA,2000,1790,NA,2128,1913
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),25+,NA,7950,7260,NA,2007,1833
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Basic Skills,Total,NA,10010,6580,NA,2045,1344
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Basic Skills,19-24,NA,2210,1370,NA,2351,1459
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Basic Skills,25+,NA,7810,5210,NA,1973,1316
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 4+,Total,NA,2260,260,NA,462,54
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 4+,19-24,NA,720,100,NA,769,110
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 4+,25+,NA,1540,160,NA,390,41
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Full Level 2,Total,NA,3350,1260,NA,685,257
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Full Level 2,19-24,NA,1440,570,NA,1537,612
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Full Level 2,25+,NA,1910,690,NA,483,173
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Full Level 3,Total,NA,5150,1720,NA,1052,352
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Full Level 3,19-24,NA,2550,1010,NA,2719,1078
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: Full Level 3,25+,NA,2600,710,NA,657,180
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: No Level Assigned,Total,NA,7190,6000,NA,1469,1226
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: No Level Assigned,19-24,NA,780,710,NA,832,754
2018/19,,,E08000035,Leeds,Further education and skills,Further education and skills: No Level Assigned,25+,NA,6410,5300,NA,1620,1338
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Total,Total,6620,11420,2650,1288,2221,514
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Total,Under 19,1520,2390,840,6130,9599,3393
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Total,19-24,1880,3880,830,2003,4133,883
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Total,25+,3220,5160,980,814,1304,246
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Intermediate,Total,2530,4270,1250,493,831,242
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Intermediate,Under 19,860,1400,470,3461,5647,1908
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Intermediate,19-24,690,1300,340,733,1381,363
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Intermediate,25+,990,1580,430,249,398,109
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Higher,Total,1390,2110,180,270,411,36
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Higher,Under 19,60,70,20,246,298,97
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Higher,19-24,370,670,60,391,714,64
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Higher,25+,960,1370,100,242,346,25
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Advanced,Total,2700,5240,1220,525,1018,236
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Advanced,Under 19,600,980,350,2423,3936,1389
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Advanced,19-24,820,2010,430,879,2144,456
2018/19,,,E08000035,Leeds,Apprenticeships,Apprenticeships: Advanced,25+,1280,2250,440,323,568,112
