date,new_la_code,la_name,geography_code,geography_name,apprenticeships_or_further_education,level_or_type,age_group,starts,participation,achievements,starts_rate_per_100000_population,participation_rate_per_100000_population,achievements_rate_per_100000_population
2021/22,,,E07000163,Craven,Education and training,Education and training: Below Level 2 (excluding Basic Skills),19-24,NA,30,30,NA,1261,1149
2021/22,,,E07000163,Craven,Education and training,Education and training: Below Level 2 (excluding Basic Skills),25+,NA,110,110,NA,392,385
2021/22,,,E07000163,Craven,Education and training,Education and training: Basic Skills,Total,NA,110,80,NA,364,267
2021/22,,,E07000163,Craven,Education and training,Education and training: Basic Skills,19-24,NA,40,30,NA,1557,1112
2021/22,,,E07000163,Craven,Education and training,Education and training: Basic Skills,25+,NA,70,50,NA,250,185
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 4+,Total,NA,20,10,NA,59,29
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 4+,19-24,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 4+,25+,NA,10,10,NA,50,25
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 2,Total,NA,30,10,NA,88,42
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 2,19-24,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 2,25+,NA,20,10,NA,82,43
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 3,Total,NA,60,40,NA,189,117
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 3,19-24,NA,30,20,NA,1112,630
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 3,25+,NA,30,20,NA,100,68
2021/22,,,E07000163,Craven,Education and training,Education and training: No Level Assigned,Total,NA,10,10,NA,29,29
2021/22,,,E07000163,Craven,Education and training,Education and training: No Level Assigned,19-24,NA,10,10,NA,334,334
2021/22,,,E07000163,Craven,Education and training,Education and training: No Level Assigned,25+,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Total,Total,NA,310,290,NA,956,883
2021/22,,,E07000163,Craven,Community Learning,Community learning: Total,Under 19,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Total,19-24,NA,10,10,NA,482,445
2021/22,,,E07000163,Craven,Community Learning,Community learning: Total,25+,NA,300,270,NA,1059,977
2021/22,,,E07000163,Craven,Community Learning,Community learning: Personal and community development learning,Total,NA,310,280,NA,941,867
2021/22,,,E07000163,Craven,Community Learning,Community learning: Personal and community development learning,Under 19,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Personal and community development learning,19-24,NA,10,10,NA,482,445
2021/22,,,E07000163,Craven,Community Learning,Community learning: Personal and community development learning,25+,NA,290,270,NA,1042,960
2021/22,,,E07000163,Craven,Community Learning,Community learning: Family english maths and language,Total,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Family english maths and language,25+,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Wider family learning,Total,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Wider family learning,25+,NA,low,low,NA,low,low
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Total,Total,NA,2280,1170,NA,4558,2348
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Total,19-24,NA,680,280,NA,15625,6434
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Total,25+,NA,1600,890,NA,3503,1958
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Level 2,Total,NA,770,500,NA,1532,996
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Level 2,19-24,NA,180,100,NA,4044,2229
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Level 2,25+,NA,590,400,NA,1292,878
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Level 3,Total,NA,550,190,NA,1108,376
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Level 3,19-24,NA,270,90,NA,6135,2160
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Level 3,25+,NA,290,90,NA,629,206
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),Total,NA,130,110,NA,262,216
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),19-24,NA,50,40,NA,1103,804
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),25+,NA,80,70,NA,182,160
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Basic Skills,Total,NA,380,160,NA,750,312
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Basic Skills,19-24,NA,110,40,NA,2528,850
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Basic Skills,25+,NA,270,120,NA,580,261
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Level 4+,Total,NA,580,40,NA,1166,76
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Level 4+,19-24,NA,200,10,NA,4527,276
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Level 4+,25+,NA,390,30,NA,846,57
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Full Level 2,Total,NA,200,70,NA,392,146
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Full Level 2,19-24,NA,90,30,NA,2114,781
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Full Level 2,25+,NA,100,40,NA,228,85
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Full Level 3,Total,NA,490,150,NA,974,306
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Full Level 3,19-24,NA,250,80,NA,5630,1884
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Full Level 3,25+,NA,240,70,NA,530,156
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: No Level Assigned,Total,NA,390,350,NA,772,696
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: No Level Assigned,19-24,NA,40,30,NA,873,735
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: No Level Assigned,25+,NA,350,320,NA,762,692
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Total,Total,680,1430,230,1296,2714,434
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Total,Under 19,140,270,70,5071,9924,2427
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Total,19-24,230,490,70,5170,11236,1677
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Total,25+,320,670,90,699,1465,195
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Intermediate,Total,150,320,90,277,608,165
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Intermediate,Under 19,70,150,40,2499,5324,1376
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Intermediate,19-24,40,80,20,873,1930,414
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Intermediate,25+,40,90,30,85,197,68
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Higher,Total,300,590,30,567,1109,59
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Higher,Under 19,10,20,low,362,580,low
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Higher,19-24,110,200,10,2505,4504,299
2021/22,,,E07000164,Hambleton,Apprenticeships,Apprenticeships: Higher,25+,180,370,20,394,817,37
