LA,Thing,Count
Harrogate,4133,36
Harrogate,5215,34
Harrogate,1181,34
Harrogate,9134,34
Harrogate,3112,34
Harrogate,6121,33
Harrogate,4151,32
Harrogate,2126,31
Harrogate,8129,30
Harrogate,7115,29
Harrogate,3421,28
Harrogate,9120,28
Harrogate,3216,28
Kirklees,7125,5213
Kirklees,7129,1814
Kirklees,1190,1334
Kirklees,7111,1019
Kirklees,3113,963
Kirklees,2129,859
Kirklees,1132,830
Kirklees,4159,707
Kirklees,2136,653
Kirklees,5231,603
Kirklees,2122,603
Kirklees,2123,557
Kirklees,9260,543
Kirklees,7219,537
Kirklees,8211,532
Kirklees,7130,527
Kirklees,3543,476
Kirklees,3542,422
Kirklees,1121,383
Kirklees,5241,379
Kirklees,2421,373
Kirklees,1259,364
Kirklees,5249,356
Kirklees,7113,356
Kirklees,1131,348
Kirklees,9233,320
Kirklees,2423,310
Kirklees,3119,298
Kirklees,2311,293
Kirklees,3541,291
Kirklees,2231,291
Kirklees,3545,274
Kirklees,5314,272
Kirklees,2135,261
Kirklees,2121,250
Kirklees,3132,245
Kirklees,4122,241
Kirklees,8212,230
Kirklees,5223,227
Kirklees,2424,227
Kirklees,2436,210
Kirklees,3562,203
Kirklees,7213,201
Kirklees,3563,199
Kirklees,2139,185
Kirklees,5215,184
Kirklees,3131,177
Kirklees,1123,176
Kirklees,7121,174
Kirklees,3531,171
Kirklees,2137,167
Kirklees,2433,166
Kirklees,8125,147
Kirklees,6145,145
Kirklees,5315,142
Kirklees,2126,138
Kirklees,3218,130
Kirklees,2462,126
Kirklees,3567,125
Kirklees,5221,124
Kirklees,7220,120
Kirklees,3122,120
Kirklees,2124,118
Kirklees,2426,116
Kirklees,9219,115
Kirklees,3115,115
Kirklees,3421,112
Kirklees,3116,110
Kirklees,2434,108
Kirklees,2222,107
Kirklees,2319,102
Kirklees,9120,96
Kirklees,3534,94
Kirklees,4161,93
Kirklees,4216,90
Kirklees,4134,90
Kirklees,2461,90
Kirklees,8121,89
Kirklees,1133,88
Kirklees,6141,83
Kirklees,2435,83
Kirklees,5449,82
Kirklees,3565,78
Kirklees,2413,78
Kirklees,2317,77
Kirklees,1251,76
Kirklees,1136,75
Kirklees,1116,73
Kirklees,8133,73
Kirklees,3412,72
Kirklees,1139,72
Kirklees,4138,71
Kirklees,2134,69
Kirklees,6211,66
Kirklees,4133,65
Kirklees,6121,64
Kirklees,2431,64
Kirklees,1135,63
Kirklees,3443,63
Kirklees,4214,62
Leeds,6145,324755
Leeds,2231,200022
