Thing,Count,Quotient,Latitude,Longitude
Sevenoaks,55000,0,51.3057668232524,0.181331149148582
West Northamptonshire,52500,0,52.222615151816,-0.95170211022675
Pendle,47500,0,53.8517385975623,-2.20112739481705
Blackburn with Darwen,47500,0,53.7357414616597,-2.47305995161997
South Norfolk,45000,0,52.5208327279487,1.2173249219828
Guildford,42500,0,51.2466865033823,-0.567118824014508
County Durham,42500,0,54.7481343555237,-1.60749171764873
Broadland,37500,0,52.671038123052,1.3178368446818
Lewisham,37500,0,51.4523381268385,-0.022799834096110302
Bedford,35000,0,52.1440183845687,-0.464523990946396
Nottingham,35000,0,52.9614181518024,-1.16569209517163
East Ayrshire,35000,0,55.5837624991231,-4.45134958932961
Southend-on-Sea,35000,0,51.5448058178684,0.690945132930229
Walsall,33263,0,52.5931881077638,-1.97729021713425
South Gloucestershire,32500,0,51.5164582440079,-2.50456643822432
Stoke-on-Trent,32500,0,53.0163230176479,-2.175658898031
Exeter,30000,0,50.7172852580968,-3.51341083684376
Barnet,29937,0,51.6071355708995,-0.203494782223262
Hart,29500,0,51.2891047087123,-0.866586827737672
Derby,27500,0,52.916258405355,-1.47003826063977
Dacorum,27500,0,51.7609238323657,-0.505496534339397
Stafford,27500,0,52.840900476694,-2.13541081278887
"Armagh City, Banbridge and Craigavon",25000,0,54.3881538198423,-6.44219928481191
East Lindsey,25000,0,53.252491479605,0.0764526235115258
Slough,22500,0,51.511151080707,-0.592640000000008
Preston,22500,0,53.7732541073143,-2.70472504302104
Dartford,20000,0,51.4424836783463,0.238670743410085
Brent,20000,0,51.5573126493706,-0.264759433713779
Richmond upon Thames,20000,0,51.4474689287312,-0.315815205688174
Norwich,19316,0,52.6324061335656,1.29117345232862
South Cambridgeshire,17500,0,52.1948277468616,0.0911416103339071
Torbay,17500,0,50.4518225856407,-3.54669738702628
Greenwich,15000,0,51.4788309373429,0.049377710407244
Newport,15000,0,51.5841489316368,-2.99139043525847
Caerphilly,15000,0,51.6309632572636,-3.19909085172715
"Kingston upon Hull, City of",3498,0,53.7530638599118,-0.343861691091627
Cambridge,0,NA,52.2033682137491,0.133755643346229
Trafford,0,NA,53.4167579020227,-2.33538532377453
Southwark,0,NA,51.492099463145,-0.0835390332847613
Mole Valley,0,NA,51.2544336206907,-0.326810933711223
Perth and Kinross,0,NA,56.4194393258323,-3.50533931152858
North Lanarkshire,0,NA,55.8565636221803,-3.99730718292552
Darlington,0,NA,54.5282620039628,-1.54868019002101
"Newry, Mourne and Down",0,NA,54.1999570683546,-6.17295706582293
Dorset,0,NA,50.7745678845824,-2.22255998140027
Maidstone,0,NA,51.2587929395237,0.534245512630756
Sunderland,0,NA,54.8947059965728,-1.43967170749128
Medway,0,NA,51.380479876606,0.535236112444737
Barking and Dagenham,0,NA,51.5474778776548,0.123486090886589
Basildon,0,NA,51.5961094539702,0.470389341386785
Sandwell,0,NA,52.5065178522872,-2.00616319891878
Angus,0,NA,56.6278875473577,-2.72472448321705
Enfield,0,NA,51.6372682983945,-0.0930337856246624
North East Derbyshire,0,NA,53.2450012519978,-1.41473928609486
Bath and North East Somerset,0,NA,51.3697157276059,-2.41285027141097
West Lothian,0,NA,55.9032611698008,-3.56356965594118
Kensington and Chelsea,0,NA,51.4999214219645,-0.188914727847027
Northumberland,0,NA,55.1875493471329,-1.76931248856019
Gravesham,0,NA,51.427103389714,0.367948913589798
Tandridge,0,NA,51.2493867637876,-0.0614264643846648
Teignbridge,0,NA,50.5603304628095,-3.60122665013782
South Oxfordshire,0,NA,51.6264413476858,-1.05065209980431
Hyndburn,0,NA,53.7604072064232,-2.38241356935574
Halton,0,NA,53.3491209074259,-2.70964887946839
East Hertfordshire,0,NA,51.833910581425,0.0223885858206972
Harborough,0,NA,52.5065636380311,-1.04024277226893
Rhondda Cynon Taf,0,NA,51.6093569736963,-3.38666659364832
South Somerset,0,NA,50.9685895051186,-2.69849824032041
South Lakeland,0,NA,54.2921413513514,-2.85596150565114
North Tyneside,0,NA,55.0209462572691,-1.5036413578775
Epsom and Ewell,0,NA,51.3434543341034,-0.26144917079072
Causeway Coast and Glens,0,NA,55.0826667070449,-6.68239860535544
Harrow,0,NA,51.5913153736563,-0.332804230312533
Wychavon,0,NA,52.1780897439728,-2.06880553988886
Bromley,0,NA,51.3942766875847,0.0275367530049971
Central Bedfordshire,0,NA,51.9728324956867,-0.478444183489742
Newark and Sherwood,0,NA,53.10017750439,-0.884829187884109
Swindon,0,NA,51.5672871389582,-1.78176144304645
East Riding of Yorkshire,0,NA,53.8320289983434,-0.487227444448684
Ards and North Down,0,NA,54.6131726639736,-5.6983004377105
