Thing,Count,Quotient,Latitude,Longitude
Croydon,2,0.00104,51.3687022964768,-0.0952326481745404
"Newry, Mourne and Down",2,0.0056,54.1999570683546,-6.17295706582293
Three Rivers,2,0.00471,51.6504675503018,-0.445181071925057
Dorset,2,0.00174,50.7745678845824,-2.22255998140027
Runnymede,1,0.00304,51.4012630699354,-0.526595236544382
Nottingham,1,0.00116,52.9614181518024,-1.16569209517163
Cardiff,1,7.1e-4,51.5021903004641,-3.18176176761956
Maidstone,1,0.00189,51.2587929395237,0.534245512630756
Eastbourne,1,0.0033,50.7763029369298,0.285342230343935
"Bristol, City of",1,6.9e-4,51.460883772587,-2.59684752683009
Uttlesford,1,0.00304,51.9378620651856,0.266269879182977
Swansea,1,0.00211,51.6359674853098,-3.96638141492085
East Ayrshire,1,0.00638,55.5837624991231,-4.45134958932961
"Kingston upon Hull, City of",1,0.00222,53.7530638599118,-0.343861691091627
Sunderland,1,0.00281,54.8947059965728,-1.43967170749128
Medway,1,0.00147,51.380479876606,0.535236112444737
Barking and Dagenham,1,0.00122,51.5474778776548,0.123486090886589
Newham,1,6.5e-4,51.5309642455957,0.0316330274232363
Newport,1,0.00303,51.5841489316368,-2.99139043525847
Basildon,1,0.00165,51.5961094539702,0.470389341386785
Sandwell,1,0.00122,52.5065178522872,-2.00616319891878
Reading,1,0.00199,51.4523921157519,-0.978190626945066
Angus,1,0.00611,56.6278875473577,-2.72472448321705
"Bournemouth, Christchurch and Poole",1,8.1e-4,50.7341371018625,-1.89069104803856
Rushcliffe,1,0.00323,52.9131503391496,-1.0910679873598
Enfield,1,6e-4,51.6372682983945,-0.0930337856246624
Pendle,1,0.00523,53.8517385975623,-2.20112739481705
North East Derbyshire,1,0.00647,53.2450012519978,-1.41473928609486
Bath and North East Somerset,1,0.00181,51.3697157276059,-2.41285027141097
Dartford,1,0.00231,51.4424836783463,0.238670743410085
West Lothian,1,0.00409,55.9032611698008,-3.56356965594118
Doncaster,1,0.00143,53.5264742411146,-1.11742486663908
Slough,1,0.00179,51.511151080707,-0.592640000000008
Kensington and Chelsea,1,0.00104,51.4999214219645,-0.188914727847027
South Gloucestershire,1,0.0016,51.5164582440079,-2.50456643822432
Northumberland,1,0.00202,55.1875493471329,-1.76931248856019
Torfaen,1,0.00831,51.6741720258985,-3.02955344161546
Southend-on-Sea,1,0.00133,51.5448058178684,0.690945132930229
Gravesham,1,0.00309,51.427103389714,0.367948913589798
South Cambridgeshire,1,0.00198,52.1948277468616,0.0911416103339071
Tandridge,1,0.00308,51.2493867637876,-0.0614264643846648
South Staffordshire,1,0.00388,52.604326360719,-2.16066216302956
Wyre Forest,1,0.00323,52.3716562692022,-2.26195991773227
Torbay,1,0.00346,50.4518225856407,-3.54669738702628
North Hertfordshire,1,0.00246,51.9739565785452,-0.199084179362427
Teignbridge,1,0.00348,50.5603304628095,-3.60122665013782
South Oxfordshire,1,0.00239,51.6264413476858,-1.05065209980431
Brent,1,7.4e-4,51.5573126493706,-0.264759433713779
Thurrock,1,0.00187,51.4919108413957,0.335991176273257
Hyndburn,1,0.00706,53.7604072064232,-2.38241356935574
Broadland,1,0.00395,52.671038123052,1.3178368446818
West Suffolk,1,0.00195,52.2619017032795,0.582842766104841
Braintree,1,0.0027,51.8810803219398,0.601325419657439
